"INTERNAL,N,6,0","INACTIVE,L","PART_NO,C,20","DESC,C,70","DESC1,C,70","PRINTD1,L","TYPE,C,1","GROUP,N,6,0","GROUP1,N,4,0","GROUP2,N,4,0","GROUP3,N,4,0","SALE_ACC,N,5,0","BUY_ACC,N,5,0","UNIT,C,10","BIN,C,10","PRICE1,N,13,3","QTY1,N,9,2","PRICE2,N,13,3","QTY2,N,9,2","PRICE3,N,13,3","QTY3,N,9,2","PRICE4,N,13,3","QTY4,N,9,2","PRICE5,N,13,3","QTY5,N,9,2","SPRICE,N,13,3","SDATE1,D","SDATE2,D","COST,N,14,4","FACTOR,N,7,3","PUR_QTY,N,14,3","PUR_AMOUNT,N,15,3","QTY,N,12,3","BACKORDER,N,12,4","ONORDER,N,12,4","ONLAYBY,N,10,2","LASTSOLD,D","LASTBUY,D","LASTORDER,D","MINIMUM,N,8,0","MAXIMUM,N,8,0","TAXCODE,C,3","TAXCODE1,C,3","NOTES,C,57","TRACKSER,L","SUPPLIER,N,4,0","EDITQTY,L","BLOCKDISC,L","EDITPRICE,L","SELLUNIT,N,6,0","BUYUNIT,N,6,0","MADEUP,L","BFQTY,N,12,3","BFCOST,N,15,4","SPICTURE,C,80","USRPROMPT,C,80","EXPIRY,L","S_POINTS,N,8,0","USESCALE,L","CON_OUT,N,11,3","CON_IN,N,11,3","RELEASEDON,D","WEBSTORE,L","FROMTIME,C,5","TOTIME,C,5","COSTDATE,D","COSTDATE1,D","TEMPCOST,N,15,3","DAYS,N,5,0","BLOCKFRAC,L","MINSELL,N,13,3","SELLCHANGE,D","SPECIALS,N,3,0"
1366,FALSE,6001070000000,COLGATE 360 OPTIC WHITE,,FALSE,,9,0,0,0,0,0,,,2277,1,0,0,2231.46,3,0,0,0,0,0,,,750,0,0,0,0,0,0,0,1/7/2025,6/10/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1367,FALSE,6001070000000,COLGATE TWISTER,,FALSE,,9,0,0,0,0,0,,,2277,1,0,0,2231.46,3,0,0,0,0,0,,,750,0,0,0,0,0,0,0,2/22/2025,6/10/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1368,FALSE,6001070000000,COLGATE MAX WHITE,,FALSE,,9,0,0,0,0,0,,,2277,1,0,0,2231.46,3,0,0,0,0,0,,,750,0,0,0,21,0,0,0,1/6/2025,6/10/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1369,FALSE,6001080000000,SENSODYNE RAPID RELIEF 100ML,,FALSE,,9,0,0,0,0,0,,,1973.4,1,0,0,1933.93,3,0,0,0,0,0,,,750,0,0,0,0,0,0,0,11/16/2023,6/12/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1370,FALSE,6152110000000,MYMY FLUORIDE TOOTPASTE RED GEL 125G,,FALSE,,9,0,0,0,0,0,,,683.1,1,0,0,669.44,3,0,0,0,0,0,,,215,0,0,0,0,0,0,0,3/13/2024,,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,230,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1371,FALSE,6154000000000,PEPSODENT TRIPLE PROTECTION 140G,,FALSE,,22,0,0,0,0,0,,,1188,1,0,0,1164.24,3,0,0,0,0,835,4/1/2025,4/15/2025,460,0,0,0,-25,0,0,0,5/5/2025,,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,166,,FALSE,7:00,20:00,,,0,0,FALSE,0,3/25/2025,0
1372,FALSE,6154000000000,CLOSEUP TOOTHPASTE 40G,,FALSE,,9,0,0,0,0,0,,,396,1,0,0,388.08,3,0,0,0,0,376.2,3/3/2025,3/5/2025,125,0,0,0,0,0,0,0,5/9/2024,,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,62,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1373,FALSE,6291100000000,SPRING FRESH ORAL CARE KIT SMALL,,FALSE,,9,0,0,0,0,0,,,3500,1,0,0,3200,3,0,0,0,0,0,,,1250,0,0,0,12,0,0,0,7/18/2025,4/15/2025,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,12,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1374,FALSE,6291100000000,SPRING FRESH ORAL CARE KIT DENTAL FLOSS WAXED & MI,,FALSE,,9,0,0,0,0,0,,,3795,1,0,0,3719.1,3,0,0,0,0,0,,,1000,0,0,0,3,0,0,0,5/9/2025,6/19/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
1375,FALSE,6958400000000,COLDENT FLOSS TOOTHPICKS  50PCS,,FALSE,,9,0,0,0,0,0,,,1100,1,0,0,1045,3,0,0,0,0,0,,,666.67,0,0,0,0,0,0,0,5/16/2025,2/14/2024,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/2/2025,0
